x1		y1		  x2		y2		x3		y3		x4		y4
0.00946924	-0.00026093       0.00946924	-0.00025970     0.00946924	-0.00025605     0.00946924	-0.00024689
0.24600190	-0.00615433	  0.24600190	-0.00614575	0.24600190	-0.00611837   	0.24600190	-0.00604144
0.39994797	-0.00672028	  0.39994797	-0.00671233	0.39994797	-0.00668731   	0.39994797	-0.00661802
0.54157394	-0.00744133	  0.54157394	-0.00743415	0.54157394	-0.00741169   	0.54157394	-0.00735012
0.67496464	-0.00894299	  0.67496464	-0.00893503	0.67496464	-0.00891002   	0.67496464	-0.00884018
0.80252888	-0.01056499	  0.80252888	-0.01055558	0.80252888	-0.01052538   	0.80252888	-0.01043916
0.92579318	-0.01189460	  0.92579318	-0.01188364	0.92579318	-0.01184796   	0.92579318	-0.01174481
1.04573663	-0.01278954	  1.04573663	-0.01277742	1.04573663	-0.01273729   	1.04573663	-0.01262037
1.16299530	-0.01326430	  1.16299530	-0.01325110	1.16299530	-0.01320756   	1.16299530	-0.01308029
1.27798910	-0.01337282	  1.27798910	-0.01335895	1.27798910	-0.01331320   	1.27798910	-0.01317984
1.39100194	-0.01319491	  1.39100194	-0.01318085	1.39100194	-0.01313440   	1.39100194	-0.01299831
1.50223189	-0.01280495	  1.50223189	-0.01279086	1.50223189	-0.01274443   	1.50223189	-0.01260842
1.61182235	-0.01226175	  1.61182235	-0.01224789	1.61182235	-0.01220210   	1.61182235	-0.01206829
1.71988206	-0.01161985	  1.71988206	-0.01160620	1.71988206	-0.01156159   	1.71988206	-0.01143151
1.82649722	-0.01091909	  1.82649722	-0.01090592	1.82649722	-0.01086274   	1.82649722	-0.01073751
1.93174058	-0.01018775	  1.93174058	-0.01017517	1.93174058	-0.01013375   	1.93174058	-0.01001402
2.03567529	-0.00944991	  2.03567529	-0.00943781	2.03567529	-0.00939805   	2.03567529	-0.00928430
2.13835857	-0.00871968	  2.13835857	-0.00870814	2.13835857	-0.00867042   	2.13835857	-0.00856289
2.23984365	-0.00800938	  2.23984365	-0.00799848	2.23984365	-0.00796288   	2.23984365	-0.00786166
2.34018089	-0.00732970	  2.34018089	-0.00731933	2.34018089	-0.00728579   	2.34018089	-0.00719072
2.43941847	-0.00668438	  2.43941847	-0.00667466	2.43941847	-0.00664305   	2.43941847	-0.00655401
2.53760293	-0.00607625	  2.53760293	-0.00606710	2.53760293	-0.00603727   	2.53760293	-0.00595420
2.63477932	-0.00550667	  2.63477932	-0.00549806	2.63477932	-0.00547002   	2.63477932	-0.00539244
2.73099126	-0.00498468	  2.73099126	-0.00497633	2.73099126	-0.00495011   	2.73099126	-0.00487783
2.82628154	-0.00449869	  2.82628154	-0.00449090	2.82628154	-0.00446614   	2.82628154	-0.00439884
2.92069151	-0.00405270	  2.92069151	-0.00404560	2.92069151	-0.00402231   	2.92069151	-0.00395978
3.01426133	-0.00364513	  3.01426133	-0.00363831	3.01426133	-0.00361654   	3.01426133	-0.00355832
3.10702987	-0.00327388	  3.10702987	-0.00326726	3.10702987	-0.00324669   	3.10702987	-0.00319261
3.19903480	-0.00293958	  3.19903480	-0.00293357	3.19903480	-0.00291427   	3.19903480	-0.00286383
3.29031253	-0.00263832	  3.29031253	-0.00263244	3.29031253	-0.00261427   	3.29031253	-0.00256732
3.38089819	-0.00236716	  3.38089819	-0.00236162	3.38089819	-0.00234444   	3.38089819	-0.00230069
3.47082572	-0.00212825	  3.47082572	-0.00212286	3.47082572	-0.00210665   	3.47082572	-0.00206587
3.56012756	-0.00191678	  3.56012756	-0.00191164	3.56012756	-0.00189625   	3.56012756	-0.00185821
3.64883567	-0.00173080	  3.64883567	-0.00172598	3.64883567	-0.00171129   	3.64883567	-0.00167565
3.73698029	-0.00156974	  3.73698029	-0.00156526	3.73698029	-0.00155130   	3.73698029	-0.00151784
3.82459068	-0.00143093	  3.82459068	-0.00142647	3.82459068	-0.00141302   	3.82459068	-0.00138170
3.91169494	-0.00131343	  3.91169494	-0.00130913	3.91169494	-0.00129638   	3.91169494	-0.00126687
3.99832017	-0.00121524	  3.99832017	-0.00121117	3.99832017	-0.00119893   	3.99832017	-0.00117086
4.08449239	-0.00113514	  4.08449239	-0.00113108	4.08449239	-0.00111962   	4.08449239	-0.00109292
4.17023658	-0.00107314	  4.17023658	-0.00106931	4.17023658	-0.00105795   	4.17023658	-0.00103278
4.25557687	-0.00102153	  4.25557687	-0.00101782	4.25557687	-0.00100699   	4.25557687	-0.00098275
4.34053618	-0.00098786	  4.34053618	-0.00098405	4.34053618	-0.00097379   	4.34053618	-0.00095073
4.42513640	-0.00096527	  4.42513640	-0.00096184	4.42513640	-0.00095132   	4.42513640	-0.00092910
4.50939915	-0.00095812	  4.50939915	-0.00095469	4.50939915	-0.00094464   	4.50939915	-0.00091488
4.59334476	-0.00095908	  4.59334476	-0.00095542	4.59334476	-0.00094578   	4.59334476	-0.00092468
4.67699287	-0.00096966	  4.67699287	-0.00096629	4.67699287	-0.00095647   	4.67699287	-0.00093586
4.76036232	-0.00098961	  4.76036232	-0.00098623	4.76036232	-0.00097642   	4.76036232	-0.00095651
4.84347129	-0.00101713	  4.84347129	-0.00101397	4.84347129	-0.00100436   	4.84347129	-0.00098485
4.92633715	-0.00105289	  4.92633715	-0.00104959	4.92633715	-0.00103992   	4.92633715	-0.00102063
5.00897664	-0.00109466	  5.00897664	-0.00109149	5.00897664	-0.00108172   	5.00897664	-0.00106278
5.09140578	-0.00114137	  5.09140578	-0.00113806	5.09140578	-0.00112852   	5.09140578	-0.00110938
